,_id,brewery,name,category,style,updated,abv,description,ibu,srm,upc
0,beer_#17_Cream_Ale,Big Ridge Brewing,#17 Cream Ale,North American Lager,American-Style Lager,2010-07-22 20:00:20,,,,,
1,beer_#40_Golden_Lager,Minocqua Brewing Company,#40 Golden Lager,,,2010-07-22 20:00:20,,,,,
2,beer_#42_Cream_Ale,Listermann Brewing Company,#42 Cream Ale,Other Style,American-Style Cream Ale or Lager,2010-07-22 20:00:20,,,,,
3,beer_#9,Magic Hat,#9,North American Ale,American-Style Pale Ale,2010-07-22 20:00:20,4.6,"Not quite pale ale.  A beer cloaked in secrecy.  An ale whose mysterious unusual palate will swirl across your tongue and ask more questions than it answers.

A sort of dry, crisp, fruity, refreshing, not-quite pale ale.  #9 is really impossible to describe because there's never been anything else quite like it.  Our secret ingredient introduces a most unusual aroma which is balanced with residual sweetness.",,,
4,beer_(512)_ALT,(512) Brewing Company,(512) ALT,German Ale,German-Style Brown Ale/Altbier,2010-07-22 20:00:20,6,"(512) ALT is a German-style amber ale that is fermented cooler than typical ales and cold conditioned like a lager. ALT means âoldâ in German and refers to a beer style made using ale yeast after many German brewers had switched to newly discovered lager yeast. This ale has a very smooth, yet pronounced, hop bitterness with a malty backbone and a characteristic German yeast character. Made with 98% Organic 2-row and Munch malts and US noble hops.",,,
5,beer_(512)_Bruin,(512) Brewing Company,(512) Bruin,North American Ale,American-Style Brown Ale,2010-07-22 20:00:20,7.6,"At once cuddly and ferocious, (512) BRUIN combines a smooth, rich maltiness and mahogany color with a solid hop backbone and stealthy 7.6% alcohol. Made with Organic 2 Row and Munich malts, plus Chocolate and Crystal malts, domestic hops, and a touch of molasses, this brew has notes of raisins, dark sugars, and cocoa, and pairs perfectly with food and the crisp fall air.",,,
6,beer_(512)_IPA,(512) Brewing Company,(512) IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,7,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.",,,
7,beer_(512)_Pale,(512) Brewing Company,(512) Pale,North American Ale,American-Style Pale Ale,2010-07-22 20:00:20,5.8,"With Organic 2-row malted barley, (512) Pale is a copper colored American Pale Ale that balances earthy hop bitterness and hop flavor with a rich malty body.",,,
8,beer_(512)_Pecan_Porter,(512) Brewing Company,(512) Pecan Porter,Irish Ale,Porter,2010-07-22 20:00:20,6.8,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Bairdâs Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!",,,
9,beer_(512)_Whiskey_Barrel_Aged_Double_Pecan_Porter,(512) Brewing Company,(512) Whiskey Barrel Aged Double Pecan Porter,Irish Ale,Porter,2010-07-22 20:00:20,8.2,"Our first barrel project is in kegs and on itâs way to beer bars around Austin. This is a bigger, bolder version of our mainstay Pecan Porter, with a richer finish. Two months on recently emptied Jack Daniels select barrels imparted a wonderful vanilla character from the oak and a pleasant amount of whiskey nose and flavor. All in all, Iâm really proud of the hard work and effort put into this beer. Our first attempt at brewing it and our first attempt at managing barrels has paid off for everyone! Seek out this beer, but donât put it off. There is a very limited number of kegs available and it might go fastâ¦",,,
10,beer_(512)_Wit,(512) Brewing Company,(512) Wit,Belgian and French Ale,Belgian-Style White,2010-07-22 20:00:20,5.2,"Made in the style of the Belgian wheat beers that are so refreshing, (512) Wit is a hazy ale spiced with coriander and domestic grapefruit peel. 50% US Organic 2-row malted barley and 50% US unmalted wheat and oats make this a light, crisp ale well suited for any occasion.",,,
11,beer_.38_Special_Bitter,Sullivan's Black Forest Brew Haus & Grill,.38 Special Bitter,British Ale,Ordinary Bitter,2010-07-22 20:00:20,3.8,"Don't let the name scare you, this is an easy drinker, slightly sweet and bitter.",,,
12,"beer_1,2,3_Ale",Olde Peninsula Brewpub and Restaurant,"1,2,3 Ale",North American Ale,American-Style Amber/Red Ale,2010-07-22 20:00:20,,,,,
13,beer_10,Abbaye de Maredsous,10,Belgian and French Ale,Belgian-Style Tripel,2010-07-22 20:00:20,10,Moortgat's Maredsous 10 is an orangy-blond big sweet tripel nudging into a barley wine.,,,
14,beer_1000_Barley_Wine,Upstream Brewing Old Market,1000 Barley Wine,,,2010-07-22 20:00:20,9.2,,,,
15,beer_1084_Barleywine,Mercury Brewing Company,1084 Barleywine,North American Ale,American-Style Barley Wine Ale,2010-07-22 20:00:20,,,,,
16,beer_10_Squared_(10Â²),Fish Brewing Company & Fish Tail Brewpub,10 Squared (10Â²),North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,10,"The Mighty Fish Brewers first produced Ten Squared Anniversary Ale to celebrate Fish Brewing Companyâs tenth anniversary. The ale was so good and the response to it so overwhelmingly positive that it has become the crown jewel of REEL ALEs. Ten different hops: Horizon, Chinook, Columbus, Willamette, Tradition, Northern Brewer, Santiam, Tettnanger, Cascade and Golding, in the order of their use -- give Ten Squared a unique hop character which has to be tasted to be believed. 

Even with 100 IBUs, this brew sports a strong malt backbone. Two-row Pale, Caramel 40, Caramel 75, Special B and Aromatic malts impart remarkable balance for such a hop monster. This is smooth ale with surprising similarities to ten year old malt whiskey. Produced for the holidays, 10 102 Anniversary Ale is usually available into late spring.",,,
17,beer_11,Unibroue,11,North American Ale,American-Style Pale Ale,2010-07-22 20:00:20,11,,,,
18,beer_1100_Wheat_Wine,"Fitger's Brewhouse, Brewery and Grill",1100 Wheat Wine,,,2010-07-22 20:00:20,11.5,,,,
19,beer_120_Minute_IPA,Dogfish Head Craft Brewery,120 Minute IPA,North American Ale,Imperial or Double India Pale Ale,2010-07-22 20:00:20,18,"Too extreme to be called beer? Brewed to a colossal 45-degree plato, boiled for a full 2 hours while being continuously hopped with high-alpha American hops, then dry-hopped daily in the fermenter for a month & aged for nother month on whole-leaf hops!!! Our 120 Minute I.P.A. is by far the biggest I.P.A. ever brewed! At 20% abv and 120 ibus you can see why we call this beer THE HOLY GRAIL for hopheads!

-changed to be 18% for aging purposes according to Dogfish Head brewery.",,,
20,beer_120_Shilling_Scotch_Ale,Kuhnhenn Brewing,120 Shilling Scotch Ale,British Ale,Scotch Ale,2010-07-22 20:00:20,,,,,
21,beer_12_Dogs_Christmas_Ale,Thirsty Dog Brewing,12 Dogs Christmas Ale,,,2010-07-22 20:00:20,7.8,"Spiced for the holidays with honey, cinnamon, ginger, nutmeg and Santa's secret recipe.",,,
22,beer_13th_Anniversary_Ale,Stone Brewing Co.,13th Anniversary Ale,North American Ale,American-Style Strong Pale Ale,2010-07-22 20:00:20,9.5,"Stone 13th Anniversary Ale pours brilliant deep red with a light tan foam. Up front, the aroma is all piney, resinous and citrus hops. Upon tasting, the hops are still on the front, and they are balanced with the malty, toffee like flavors contributed from the blend of crystal and amber malts used in the brewhouse. The finish is deliciously bitter, with a touch of warmth provided by the 9.5% alcohol. Bitterness comes in at 90+ IBU.",,,
23,beer_15,Unibroue,15,,,2010-07-22 20:00:20,10,,,,
24,beer_1554_Enlightened_Black_Ale,New Belgium Brewing,1554 Enlightened Black Ale,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,5.5,"Born of a flood and centuries-old Belgian text, 1554 Enlightened Black Ale uses a light lager yeast strain and dark chocolaty malts to redefine what dark beer can be. In 1997, a Fort Collins flood destroyed the original recipe our researcher, Phil Benstein, found in the library. So Phil and brewmaster, Peter Bouckaert, traveled to Belgium to retrieve this unique style lost to the ages. Their first challenge was deciphering antiquated script and outdated units of measurement, but trial and error (and many months of in-house sampling) culminated in 1554, a highly quaffable dark beer with a moderate body and mouthfeel.",,,
25,beer_16,Unibroue,16,,,2010-07-22 20:00:20,10,,,,
26,beer_1634_Urtyp_Hell,Paulaner,1634 Urtyp Hell,,,2010-07-22 20:00:20,,,,,
27,beer_1664,Brasseries Kronenbourg,1664,,,2010-07-22 20:00:20,,,,,
28,beer_1784_Anniversary_Beer,vyturio Alaus Darykla,1784 Anniversary Beer,,,2010-07-22 20:00:20,5.4,,,,
29,beer_1798_Revolution,Dublin Brewing,1798 Revolution,British Ale,English-Style Pale Mild Ale,2010-07-22 20:00:20,,,,,
30,beer_1809,Doemens e.V.,1809,,,2010-07-22 20:00:20,5,,,,
31,beer_1837,Unibroue,1837,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,7,"1837 is a blonde beer that is slightly cloudy. It contains 7% alcohol and is refermented in the bottle. Following the brewing tradition of the great abbey beers, it is made with a blend of Quebec-grown raw wheat, lightly roasted barley and a hint of spices. It is a truly refreshing beer.",,,
32,beer_1845_Celebration_Ale,"Fuller, Smith & Turner PBC",1845 Celebration Ale,,,2010-07-22 20:00:20,,,,,
33,"beer_186,000_MPS_Malt_Liquor",Listermann Brewing Company,"186,000 MPS Malt Liquor",,,2010-07-22 20:00:20,10.5,,,,
34,beer_1888_Bock,Jacob Leinenkugel Brewing Company,1888 Bock,German Lager,Traditional German-Style Bock,2010-07-22 20:00:20,5.2,"In 1888, After enduring one of the coldest winters on record, the employees of Jacob Leinenkugel's spring brewery crafted their first seasonal beer to celebrate the coming of spring. They blended dark and pale roasted malted barley with select hops and allowed for longer aging to create a robust beer with an exceptionally creamy head. Unchanged since 1888, You'll find our bock's sturdy bod and deep color perfect to draw you out of one season and the into next.",,,
35,beer_1916_Irish_Stout,Egan Brewing,1916 Irish Stout,North American Ale,American-Style Stout,2010-07-22 20:00:20,,,,,
36,beer_1997,White Oak Cider,1997,,,2010-07-22 20:00:20,6.8,,,,
37,beer_2004_Symposium_Ale,Stone Brewing Co.,2004 Symposium Ale,,,2010-07-22 20:00:20,7.5,,,,
38,beer_2008_Culture_Beer,Cains,2008 Culture Beer,British Ale,Ordinary Bitter,2011-05-17 03:27:08,5,"A full, clean and refreshing pale coloured bitter with an abundance of citrus hop character created by the blend of dry and late hopping techniques.

It also has subtle hints of malt and fruit on aroma and palate which gives the beer a well rounded balance.",,,
39,beer_21A_IPA,21st Amendment Brewery Cafe,21A IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,7.2,Deep golden color. Citrus and piney hop aromas. Assertive malt backbone supporting the overwhelming bitterness. Dry hopped in the fermenter with four types of hops giving an explosive hop aroma. Many refer to this IPA as Nectar of the Gods. Judge for yourself. Now Available in Cans!,,,
40,beer_2nd_Street_Amber,Grumpy Troll Restaurant and Brewery,2nd Street Amber,North American Ale,American-Style Amber/Red Ale,2010-07-22 20:00:20,,,,,
41,beer_2x4_India_Pale_Ale,Bavarian Barbarian Brewing Company,2x4 India Pale Ale,North American Ale,Imperial or Double India Pale Ale,2010-07-22 20:00:20,7,"2x4 India Pale Ale (7% ABV, 65 IBUs) sports Columbus, Nugget and Amarillo hops for a spicy, citrusy blend in both flavor and aroma.  Backed by golden pale malts and a kick from flaked rye, the hops are pleasantly robust with just the right touch of bitterness at the end.",,,
42,beer_2xIPA,Southern Tier Brewing Co,2xIPA,North American Ale,Imperial or Double India Pale Ale,2010-07-22 20:00:20,,,,,
43,beer_2_Brothers,Govnor's Public House,2 Brothers,North American Ale,American-Style Pale Ale,2010-07-22 20:00:20,,,,,
44,beer_2Â°_Below,New Belgium Brewing,2Â° Below,British Ale,Extra Special Bitter,2010-07-22 20:00:20,6.6,"Pull on your wool socks and crack open a 2Â° Below Ale. This tasty winter warmer started life as a small batch beer brewed for the Al Johnson Uphill Downhill â a telemark ski race in Crested Butte, Colorado. The Uphill Downhill celebrates the exploits of Al Johnson, letter carrier extraordinaire, who delivered mail by ski in the late 1800âs. Dry hopping during fermentation creates a floral nose with a hint of pepper and spicy, subtle undertones. 2Â° Below provides a bright, hoppy palate and a cheery warm afterglow.",,,
45,beer_32_Inning_Ale,Pizzeria Uno Chicago Grill & Brewery,32 Inning Ale,,,2010-07-22 20:00:20,,,,,
46,beer_34th_Street_Porter,Bootleggers Steakhouse and Brewery,34th Street Porter,Irish Ale,Porter,2010-07-22 20:00:20,,,,,
47,beer_3767_Belgian-style_IPA_with_Brett,Midnight Sun Brewing Co.,3767 Belgian-style IPA with Brett,Belgian and French Ale,Other Belgian-Style Ales,2010-07-22 20:00:20,8,"The extensive distance between two breweries on the West Coast â 3767 miles â is bridged by this collaboration beer. Brewers Gabe Fletcher of Midnight Sun Brewing Company [Anchorage, AK] and Colby Chandler of Ballast Point Brewing Company [San Diego, CA] designed and brewed an exciting representation of their passions: hops, Belgian yeast, oak aging and Brettanomyces. 

Just prior to the Great Alaska Beer & Barley Wine Fest in JAN 2009, Gabe and Colby brewed a West Coast-worthy IPA at Midnight Sun Brewing Company. This hop-centric beer became the jumping-off point for other intense flavors. During its course to completion, 3767 was affected by three different yeast strains--including Brettanomyces, aged for several months in French oak Cabernet Sauvignon barrels, and then bottle- and keg-conditioned. 
The plan is for 3767 to hit Anchorage, Seattle, Portland, San Francisco and San Diego in NOV 2009 for a West Coast Toast. Hereâs to the collaborative spirit readily found in our brewing industry. Clink!",,,
48,beer_3C_Extreme,Nodding Head Brewpub,3C Extreme,North American Ale,American-Style Pale Ale,2010-07-22 20:00:20,,,,,
49,beer_3rd_Anniversary_Ale,Port Brewing Company,3rd Anniversary Ale,North American Ale,Imperial or Double India Pale Ale,2010-07-22 20:00:20,10,,,,
50,beer_3_Monts,Brasserie De Saint Sylvestre,3 Monts,,,2010-07-22 20:00:20,8.5,,,,
51,beer_420_Extra_Pale_Ale,Sweetwater Brewing - Atlanta,420 Extra Pale Ale,North American Ale,American-Style Pale Ale,2010-07-22 20:00:20,5.4,,,,
52,beer_422_Pale_Wheat_Ale,Southern Tier Brewing Co,422 Pale Wheat Ale,Other Style,Light American Wheat Ale or Lager,2010-07-22 20:00:20,5,"Pour 422 Pale Wheat Ale into a pint glass, give it a long whiff and youâll realize that this isnât your average pale golden wheat. Preserved in its unfiltered state, 422 is a fantastic session ale in which flavors of wheat, barley and hops commingle to a refreshing and zesty conclusion. Hints of orange and sweet malts waft to the fore as a touch of bitterness contributes to a smooth finish. 422 is brewed as a tribute to preserving our precious planet and itâs environment. It is responsibly packaged with over 80% recycled consumer products and is completely recyclable. Enjoy 422 all year as to take one stride closer to a eco-friendly life.",,,
53,beer_471_Double_IPA,Breckenridge Brewery,471 Double IPA,North American Ale,American-Style India Pale Ale,2010-07-22 20:00:20,9.2,,,,
54,beer_471_Extra_ESB,Breckenridge Brewery,471 Extra ESB,,,2010-07-22 20:00:20,7.8,,,,
55,beer_471_IPA,Breckenridge Brewery,471 IPA,North American Ale,Imperial or Double India Pale Ale,2010-07-22 20:00:20,9.2,"Hoppy? Brother, 471 IPA redefines hoppy. 471 is a small batch, limited edition ale that was created by our Brewmaster to separate the weak from the strong. 471 is a double IPA, that combines Pale, Munich, Caramel-30, Carapils and Torrified Wheat malts, with Chinook, Centennial, Simcoe and Fuggles hops. It has a big sweet mouthfeel, followed by more hoppiness than you've ever had at one time. Enjoy.",,,
56,beer_471_Pilsner,Breckenridge Brewery,471 Pilsner,,,2010-07-22 20:00:20,,,,,
